"Impact","CVE Identifier","TITLE","TYPE","PUBLISHED","UPDATED"
"Critical","CVE-2022-31030, CVE-2022-29162, CVE-2022-27191, CVE-2022-29162, CVE-2022-31030, CVE-2022-24769, CVE-2021-43565, CVE-2022-23648, CVE-2022-42004, CVE-2022-42003, CVE-2021-20294, CVE-2021-20284, CVE-2021-20197, CVE-2020-16590, CVE-2020-16591, CVE-2020-16592, CVE-2020-16593, CVE-2020-16599, CVE-2021-3487, CVE-2020-35448, CVE-2020-35493, CVE-2020-35496, CVE-2020-35507, CVE-2022-1586, CVE-2022-1587, CVE-2019-20454, CVE-2022-31741, CVE-2022-24302, CVE-2017-1000487, CVE-2022-2625, CVE-2022-3171, CVE-2022-0391, CVE-2021-3733, CVE-2021-23336, CVE-2019-20907, CVE-2015-20107, CVE-2022-31030, CVE-2022-29162, CVE-2022-25857, CVE-2022-38752, CVE-2022-38749, CVE-2022-3875, CVE-2022-38750, CVE-2020-16119, CVE-2022-20008, CVE-2022-2503, CVE-2022-2586, CVE-2022-32296, CVE-2022-3239, CVE-2022-3303, CVE-2022-41218, CVE-2022-41222, CVE-2022-41674, CVE-2022-41848, CVE-2022-41849, CVE-2022-42719, CVE-2022-42720, CVE-2022-42721","DSA-2023-129: Dell PowerStore Family Security Update for Multiple Vulnerabilities","Advisory","04 Apr 2023","04 Apr 2023"
"High","CVE-2023-25542","DSA-2023-074: Dell Trusted Device Agent Security Update for an Improper Installation Permissions Vulnerability","Advisory","15 Feb 2023","04 Apr 2023"
"High","CVE-2023-28046, CVE-2023-28047","DSA-2023-123: Dell Display Manager Security Update for Arbitrary File or Folder Creation/Deletion Vulnerabilities","Advisory","28 Mar 2023","04 Apr 2023"
"Medium","CVE-2023-28049","DSA-2023-125: Dell Command | Monitor Security Update for an Arbitrary Folder Deletion Vulnerability","Advisory","29 Mar 2023","04 Apr 2023"
"Low","CVE-2022-34435, CVE-2022-34436","DSA-2022-265: Dell iDRAC8 and Dell iDRAC9 Security Update for a RACADM Vulnerability","Advisory","14 Nov 2022","04 Apr 2023"
"Medium","CVE-2021-33126, CVE-2021-33128","DSA-2022-279: Dell PowerEdge Server Security Update for Intel Ethernet Controllers and Adapters Vulnerabilities","Advisory","07 Nov 2022","03 Apr 2023"
"Medium","CVE-2023-0286, CVE-2023-0401, CVE-2023-0217, CVE-2023-0216, CVE-2023-0215, CVE-2022-4450, CVE-2022-4304, CVE-2022-4203","DSA-2023-117: Dell ThinOS Security Update for Multiple Vulnerabilities","Advisory","27 Mar 2023","03 Apr 2023"
"High","CVE-2022-41721","DSA-2023-130: Dell Container Storage Modules Security Update for a smuggling attack Vulnerability","Advisory","31 Mar 2023","03 Apr 2023"
"High","CVE-2020-10735, CVE-2021-46848, CVE-2022-35737, CVE-2022-3821, CVE-2022-40303, CVE-2022-40304, CVE-2022-41717, CVE-2022-42010, CVE-2022-42011, CVE-2022-42012, CVE-2022-43680, CVE-2022-4415, CVE-2022-45061, CVE-2022-46908, CVE-2022-47629, CVE-2023-0687.","DSA-2023-132: Dell Container Storage Modules Security Update for multiple vulnerabilities.","Advisory","31 Mar 2023","03 Apr 2023"
"Critical","CVE-2023-25941, CVE-2023-25940, CVE-2023-25942, CVE-2022-26377, CVE-2022-28330, CVE-2022-28614, CVE-2022-28615, CVE-2022-29404, CVE-2022-30522, CVE-2022-30556, CVE-2022-31813, CVE-2019-15876","DSA-2023-102: Dell EMC PowerScale OneFS Security Updates for Multiple Security Vulnerabilities","Advisory","30 Mar 2023","03 Apr 2023"
"Medium","CVE-2022-33935","DSA-2022-107: Dell Data Protection Advisor Security Update for Stored Cross Site Scripting Vulnerability","Advisory","25 Jul 2022","03 Apr 2023"
